<b>Benefit evaluation indicators</b>,<b>Simulator</b>,<b>A</b>,<b>B</b>,<b>C</b>,<b>D</b>,<b>E</b>,<b>F</b>,<b>G</b>,<b>H</b>,<b>I</b>,<b>J</b>,<b>K</b>,<b>L</b>,<b>M</b>,<b>N</b>,<b>O</b>
Effectively reduce training cost,Expert 1,5,7,4,4,7,7,4,7,6,7,5,7,5,5,4
,Expert 2,6,6,4,5,6,6,3,7,5,8,5,5,6,5,4
,Expert 3,9,8,-,-,-,-,-,-,-,-,-,-,8,-,-
,Expert 4,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-
,Expert 5,-,-,-,-,7,8,-,-,-,-,-,-,-,-,-
,Expert 6,-,-,-,-,-,-,4,7,7,-,-,-,-,-,-
,Expert 7,-,-,-,-,-,-,-,-,-,8,6,-,-,-,-
,Expert 8,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
,Expert 9,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-
,Expert 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Enhance overall training safety,Expert 1,6,6,5,4,7,6,5,7,6,7,6,5,5,6,5
,Expert 2,7,6,4,6,7,7,6,6,6,7,5,5,7,5,4
,Expert 3,8,8,-,-,-,-,-,-,-,-,-,-,6,-,-
,Expert 4,-,-,4,7,-,-,-,-,-,-,-,-,-,-,-
,Expert 5,-,-,-,-,8,7,-,-,-,-,-,-,-,-,-
,Expert 6,-,-,-,-,-,-,7,6,5,-,-,-,-,-,-
,Expert 7,-,-,-,-,-,-,-,-,-,7,5,-,-,-,-
,Expert 8,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-
,Expert 9,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-
,Expert 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Enhance teaching and training effectiveness,Expert 1,7,5,4,7,6,6,5,6,6,8,5,5,6,6,4
,Expert 2,7,5,3,4,7,6,7,7,7,7,6,5,6,5,4
,Expert 3,8,7,-,-,-,-,-,-,-,-,-,-,7,-,-
,Expert 4,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-
,Expert 5,-,-,-,-,7,8,-,-,-,-,-,-,-,-,-
,Expert 6,-,-,-,-,-,-,6,5,5,-,-,-,-,-,-
,Expert 7,-,-,-,-,-,-,-,-,-,7,6,-,-,-,-
,Expert 8,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-
,Expert 9,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-
,Expert 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Subsequent expenses satisfy actual teaching needs,Expert 1,6,6,4,5,5,5,3,6,4,5,5,6,6,5,4
,Expert 2,7,6,3,5,5,6,2,4,5,6,4,5,5,5,4
,Expert 3,6,6,-,-,-,-,-,-,-,-,-,-,7,-,-
,Expert 4,-,-,4,6,-,-,-,-,-,-,-,-,-,-,-
,Expert 5,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-
,Expert 6,-,-,-,-,-,-,4,5,4,-,-,-,-,-,-
,Expert 7,-,-,-,-,-,-,-,-,-,6,4,-,-,-,-
,Expert 8,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
,Expert 9,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-
,Expert 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Operating methods are the same as those of actual equipment,Expert 1,7,7,5,5,5,6,4,6,6,8,6,5,6,6,4
,Expert 2,6,7,4,6,6,5,3,6,5,7,5,5,6,5,5
,Expert 3,8,8,-,-,-,-,-,-,-,-,-,-,7,-,-
,Expert 4,-,-,4,5,-,-,-,-,-,-,-,-,-,-,-
,Expert 5,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-
,Expert 6,-,-,-,-,-,-,4,6,5,-,-,-,-,-,-
,Expert 7,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-
,Expert 8,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
,Expert 9,-,-,-,-,-,-,-,-,-,-,-,-,5,7,-
,Expert 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Quantity of simulators satisfies actual teaching needs,Expert 1,5,6,4,5,6,6,3,6,5,6,5,6,4,4,5
,Expert 2,6,6,6,4,6,5,4,5,4,5,5,4,4,5,5
,Expert 3,7,7,-,-,-,-,-,-,-,-,-,-,6,-,-
,Expert 4,-,-,5,6,-,-,-,-,-,-,-,-,-,-,-
,Expert 5,-,-,-,-,7,6,-,-,-,-,-,-,-,-,-
,Expert 6,-,-,-,-,-,-,3,7,6,-,-,-,-,-,-
,Expert 7,-,-,-,-,-,-,-,-,-,6,4,-,-,-,-
,Expert 8,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
,Expert 9,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-
,Expert 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
